2025-04-01T10:50:40.727,FE, 2, 0, 0,CB, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,10,crc16,50693
2025-04-01T10:50:40.741,FE,1C, 0, 0,CC, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,16890,roll,0.04262351,pitch,-0.156358,yaw,-2.884146,rollspeed,0.001941651,pitchspeed,0.002463423,yawspeed,-0.001797442,,sig ,Len,36,crc16,37047
2025-04-01T10:50:40.742,FE, 2, 0, 0,CD, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,10,crc16,40648
2025-04-01T10:50:40.742,FE,20, 0, 0,CE, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,16980,q1,-0.1296136,q2,0.07475855,q3,0.03114315,q4,0.9882518,rollspeed,0.0008786076,pitchspeed,-0.0003562913,yawspeed,0.001131792,repr_offset_q,,,sig ,Len,40,crc16,15155
2025-04-01T10:50:40.850,FE, 2, 0, 0,CF, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,10,crc16,43379
2025-04-01T10:50:40.866,FE,1C, 0, 0,D0, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,17052,roll,0.04274423,pitch,-0.1566321,yaw,-2.884184,rollspeed,0.002378821,pitchspeed,0.001877235,yawspeed,-0.001558875,,sig ,Len,36,crc16,57661
2025-04-01T10:50:40.866,FE,2A, 0, 0,D1, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,17042,chan1_raw,1495,chan2_raw,1510,chan3_raw,1056,chan4_raw,1501,chan5_raw,1065,chan6_raw,1065,chan7_raw,1065,chan8_raw,1065,chan9_raw,1065,chan10_raw,1057,chan11_raw,1542,chan12_raw,1542,chan13_raw,1514,chan14_raw,1514,chan15_raw,1514,chan16_raw,1514,chan17_raw,998,chan18_raw,998,chancount,18,rssi,45,,sig ,Len,50,crc16,59444
2025-04-01T10:50:40.913,FE,25, 0, 0,D2, 1, 1,    53,mavlink_attitude_target_t,time_boot_ms,17079,q,,body_roll_rate,-0.275833,body_pitch_rate,1.017168,body_yaw_rate,-0.009410203,thrust,0.001,type_mask,0,,sig ,Len,45,crc16,15369
2025-04-01T10:50:40.914,FE,14, 0, 0,D3, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0.009994091,alt,167.6367,climb,0.0321631,heading,194,throttle,0,,sig ,Len,28,crc16,44761
2025-04-01T10:50:40.915,FE,20, 0, 0,D4, 1, 1,    8D,mavlink_altitude_t,time_usec,17133493,altitude_monotonic,167.3513,altitude_amsl,167.3513,altitude_local,-0.4299945,altitude_relative,-0.4299945,altitude_terrain,NaN,bottom_clearance,NaN,,sig ,Len,40,crc16,56499
